,Amostra,WL 1º Pico,WL 2º Pico,Abs 1º Pico,Abs 2º Pico
1,S1.1,598.0,712.0,1.445,2.659
2,125uL de seed,525.0,752.0,0.821,0.782
3,AC 2.1,535.0,740.0,3.194,1.341
5,400uL de AgNO3,525.0,763.0,0.806,0.44
6,H5.1,522.0,645.0,0.913,1.307
10,1160ul AA 0.01M,524.0,687.0,1.065,0.36
11,600uL de AgNO3,526.0,779.0,0.815,0.354
13,S4.1,579.0,703.0,1.469,2.266
14,S4,592.0,711.0,1.618,2.409
15,Nanorods teste 1,525.0,752.0,0.821,0.782
16,200uL de AgNO3,524.0,717.0,0.808,0.362
19,100uL de seed,528.0,761.0,0.875,0.842
20,500uL de AgNO3,527.0,789.0,0.778,0.385
21,175uL de seed,525.0,795.0,0.905,1.287
22,H4.1,544.0,711.0,2.102,1.691
24,300uL de AgNO3,524.0,752.0,0.72,0.369
25,S2.2,563.0,745.0,2.574,2.82
27,S3.3,552.0,751.0,3.078,2.859
28,AC 3.1,545.0,756.0,2.83,2.13
29,150uL de seed,524.0,802.0,0.87,1.29
30,Nanorods teste 2,525.0,795.0,0.905,1.287
31,1020ul AA 0.01M,523.0,646.0,0.305,0.158
