,Amostra,Primeiro Pico,Segundo Pico,Terceiro Pico
0,T1,235.0,223.0,
1,H1,,,
2,AC 3,756.0,545.0,239.0
3,TA1,,,
4,TS3,752.0,525.0,
5,TA3,687.0,524.0,
6,S3,751.0,552.0,
7,AC 2,740.0,535.0,239.0
8,C1,235.0,224.0,
9,TP1,717.0,524.0,
10,TA2,523.0,,
11,TP4,789.0,527.0,
12,TS5,795.0,525.0,
13,AC 1,525.0,229.0,
14,TS4,802.0,524.0,
15,T2,236.0,223.0,
16,TP5,779.0,526.0,
17,C3,225.0,223.0,220.0
18,TP3,763.0,525.0,
19,H5,645.0,522.0,
20,TP2,752.0,524.0,
21,H3,,,
22,S4,703.0,579.0,518.0
23,T3,239.0,223.0,
24,C2,225.0,,
25,H4,711.0,544.0,
26,TS2,761.0,528.0,
27,H2,,,
28,S1,712.0,598.0,518.0
29,S2,745.0,563.0,
30,TA4,646.0,523.0,
