Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/30/2023 09:33:33 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.142
301.0,1.135
302.0,1.125
303.0,1.116
304.0,1.106
305.0,1.093
306.0,1.081
307.0,1.069
308.0,1.060
309.0,1.051
310.0,1.042
311.0,1.030
312.0,1.020
313.0,1.007
314.0,0.998
315.0,0.989
316.0,0.980
317.0,0.970
318.0,0.958
319.0,0.948
320.0,0.937
321.0,0.928
322.0,0.920
323.0,0.911
324.0,0.903
325.0,0.895
326.0,0.887
327.0,0.882
328.0,0.874
329.0,0.868
330.0,0.860
331.0,0.854
332.0,0.846
333.0,0.840
334.0,0.835
335.0,0.830
336.0,0.826
337.0,0.823
338.0,0.820
339.0,0.816
340.0,0.813
341.0,0.810
342.0,0.807
343.0,0.803
344.0,0.800
345.0,0.798
346.0,0.796
347.0,0.795
348.0,0.794
349.0,0.791
350.0,0.788
351.0,0.785
352.0,0.783
353.0,0.782
354.0,0.781
355.0,0.779
356.0,0.777
357.0,0.775
358.0,0.774
359.0,0.771
360.0,0.769
361.0,0.767
362.0,0.765
363.0,0.762
364.0,0.760
365.0,0.758
366.0,0.757
367.0,0.754
368.0,0.753
369.0,0.750
370.0,0.749
371.0,0.746
372.0,0.744
373.0,0.741
374.0,0.740
375.0,0.737
376.0,0.735
377.0,0.732
378.0,0.730
379.0,0.728
380.0,0.726
381.0,0.723
382.0,0.721
383.0,0.719
384.0,0.717
385.0,0.715
386.0,0.712
387.0,0.710
388.0,0.707
389.0,0.704
390.0,0.702
391.0,0.700
392.0,0.698
393.0,0.696
394.0,0.693
395.0,0.691
396.0,0.689
397.0,0.687
398.0,0.685
399.0,0.684
400.0,0.681
401.0,0.679
402.0,0.677
403.0,0.675
404.0,0.673
405.0,0.671
406.0,0.670
407.0,0.667
408.0,0.665
409.0,0.664
410.0,0.662
411.0,0.660
412.0,0.658
413.0,0.656
414.0,0.655
415.0,0.653
416.0,0.651
417.0,0.649
418.0,0.647
419.0,0.646
420.0,0.645
421.0,0.643
422.0,0.642
423.0,0.640
424.0,0.639
425.0,0.637
426.0,0.636
427.0,0.636
428.0,0.635
429.0,0.633
430.0,0.632
431.0,0.630
432.0,0.629
433.0,0.628
434.0,0.627
435.0,0.626
436.0,0.625
437.0,0.624
438.0,0.623
439.0,0.622
440.0,0.621
