Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/27/2023 10:19:37 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.877
301.0,0.872
302.0,0.865
303.0,0.857
304.0,0.850
305.0,0.842
306.0,0.835
307.0,0.829
308.0,0.822
309.0,0.814
310.0,0.806
311.0,0.800
312.0,0.793
313.0,0.786
314.0,0.778
315.0,0.771
316.0,0.765
317.0,0.759
318.0,0.753
319.0,0.748
320.0,0.743
321.0,0.737
322.0,0.731
323.0,0.726
324.0,0.720
325.0,0.715
326.0,0.709
327.0,0.704
328.0,0.700
329.0,0.695
330.0,0.692
331.0,0.688
332.0,0.685
333.0,0.680
334.0,0.676
335.0,0.672
336.0,0.669
337.0,0.666
338.0,0.664
339.0,0.662
340.0,0.660
341.0,0.657
342.0,0.654
343.0,0.652
344.0,0.649
345.0,0.647
346.0,0.645
347.0,0.644
348.0,0.642
349.0,0.640
350.0,0.637
351.0,0.636
352.0,0.634
353.0,0.633
354.0,0.631
355.0,0.630
356.0,0.627
357.0,0.626
358.0,0.624
359.0,0.622
360.0,0.620
361.0,0.619
362.0,0.617
363.0,0.615
364.0,0.612
365.0,0.611
366.0,0.610
367.0,0.608
368.0,0.606
369.0,0.604
370.0,0.601
371.0,0.599
372.0,0.597
373.0,0.595
374.0,0.593
375.0,0.592
376.0,0.590
377.0,0.588
378.0,0.586
379.0,0.584
380.0,0.582
381.0,0.580
382.0,0.577
383.0,0.576
384.0,0.574
385.0,0.572
386.0,0.570
387.0,0.567
388.0,0.566
389.0,0.564
390.0,0.562
391.0,0.560
392.0,0.558
393.0,0.556
394.0,0.554
395.0,0.553
396.0,0.551
397.0,0.550
398.0,0.548
399.0,0.547
400.0,0.545
401.0,0.543
402.0,0.542
403.0,0.541
404.0,0.539
405.0,0.538
406.0,0.536
407.0,0.535
408.0,0.533
409.0,0.531
410.0,0.530
411.0,0.528
412.0,0.527
413.0,0.526
414.0,0.525
415.0,0.523
416.0,0.522
417.0,0.521
418.0,0.520
419.0,0.518
420.0,0.518
421.0,0.517
422.0,0.516
423.0,0.515
424.0,0.514
425.0,0.513
426.0,0.512
427.0,0.511
428.0,0.511
429.0,0.510
430.0,0.509
431.0,0.508
432.0,0.507
433.0,0.507
434.0,0.506
435.0,0.506
436.0,0.505
437.0,0.505
438.0,0.504
439.0,0.504
440.0,0.504
