Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/26/2023 09:47:42 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.135
301.0,0.133
302.0,0.130
303.0,0.126
304.0,0.124
305.0,0.121
306.0,0.119
307.0,0.115
308.0,0.112
309.0,0.109
310.0,0.107
311.0,0.104
312.0,0.102
313.0,0.100
314.0,0.097
315.0,0.093
316.0,0.091
317.0,0.089
318.0,0.087
319.0,0.085
320.0,0.083
321.0,0.081
322.0,0.080
323.0,0.078
324.0,0.076
325.0,0.074
326.0,0.071
327.0,0.069
328.0,0.068
329.0,0.068
330.0,0.067
331.0,0.066
332.0,0.065
333.0,0.064
334.0,0.062
335.0,0.061
336.0,0.059
337.0,0.058
338.0,0.057
339.0,0.056
340.0,0.055
341.0,0.054
342.0,0.053
343.0,0.052
344.0,0.051
345.0,0.051
346.0,0.050
347.0,0.050
348.0,0.049
349.0,0.048
350.0,0.048
351.0,0.047
352.0,0.047
353.0,0.045
354.0,0.045
355.0,0.045
356.0,0.044
357.0,0.043
358.0,0.042
359.0,0.041
360.0,0.041
361.0,0.040
362.0,0.040
363.0,0.039
364.0,0.039
365.0,0.038
366.0,0.038
367.0,0.038
368.0,0.037
369.0,0.037
370.0,0.036
371.0,0.035
372.0,0.035
373.0,0.034
374.0,0.034
375.0,0.034
376.0,0.033
377.0,0.032
378.0,0.032
379.0,0.032
380.0,0.031
381.0,0.031
382.0,0.030
383.0,0.030
384.0,0.030
385.0,0.029
386.0,0.029
387.0,0.028
388.0,0.028
389.0,0.027
390.0,0.027
391.0,0.027
392.0,0.026
393.0,0.026
394.0,0.026
395.0,0.025
396.0,0.025
397.0,0.025
398.0,0.025
399.0,0.024
400.0,0.024
401.0,0.023
402.0,0.023
403.0,0.023
404.0,0.022
405.0,0.022
406.0,0.022
407.0,0.021
408.0,0.021
409.0,0.021
410.0,0.020
411.0,0.020
412.0,0.020
413.0,0.020
414.0,0.020
415.0,0.020
416.0,0.019
417.0,0.018
418.0,0.018
419.0,0.018
420.0,0.018
421.0,0.018
422.0,0.017
423.0,0.017
424.0,0.017
425.0,0.017
426.0,0.017
427.0,0.017
428.0,0.016
429.0,0.016
430.0,0.016
431.0,0.016
432.0,0.016
433.0,0.015
434.0,0.015
435.0,0.015
436.0,0.015
437.0,0.014
438.0,0.014
439.0,0.014
440.0,0.014
