Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Teste C2 - 0.4 M CTAB
Sample ID
Option
Analyst
Date/Time:,01/06/2023 04:19:03 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,3.246
201.0,3.300
202.0,3.349
203.0,3.405
204.0,3.440
205.0,3.485
206.0,3.514
207.0,3.553
208.0,3.610
209.0,3.640
210.0,3.662
211.0,3.687
212.0,3.731
213.0,3.767
214.0,3.800
215.0,3.810
216.0,3.852
217.0,3.877
218.0,3.904
219.0,3.910
220.0,3.938
221.0,3.938
222.0,3.960
223.0,3.989
224.0,3.980
225.0,3.987
226.0,3.933
227.0,3.712
228.0,3.422
229.0,3.175
230.0,3.008
231.0,2.910
232.0,2.860
233.0,2.834
234.0,2.820
235.0,2.810
236.0,2.796
237.0,2.782
238.0,2.769
239.0,2.754
240.0,2.737
241.0,2.708
242.0,2.659
243.0,2.580
244.0,2.473
245.0,2.325
246.0,2.144
247.0,1.954
248.0,1.752
249.0,1.553
250.0,1.378
251.0,1.220
252.0,1.077
253.0,0.958
254.0,0.857
255.0,0.771
256.0,0.705
257.0,0.649
258.0,0.600
259.0,0.560
260.0,0.525
261.0,0.493
262.0,0.464
263.0,0.438
264.0,0.413
265.0,0.389
266.0,0.366
267.0,0.344
268.0,0.323
269.0,0.303
270.0,0.282
271.0,0.263
272.0,0.244
273.0,0.228
274.0,0.212
275.0,0.197
276.0,0.183
277.0,0.171
278.0,0.159
279.0,0.148
280.0,0.138
281.0,0.129
282.0,0.121
283.0,0.114
284.0,0.107
285.0,0.101
286.0,0.094
287.0,0.089
288.0,0.084
289.0,0.080
290.0,0.076
291.0,0.072
292.0,0.069
293.0,0.066
294.0,0.063
295.0,0.061
296.0,0.059
297.0,0.057
298.0,0.055
299.0,0.053
300.0,0.052
301.0,0.051
302.0,0.050
303.0,0.049
304.0,0.048
305.0,0.047
306.0,0.045
307.0,0.044
308.0,0.043
309.0,0.042
310.0,0.042
311.0,0.041
312.0,0.040
313.0,0.039
314.0,0.038
315.0,0.038
316.0,0.037
317.0,0.036
318.0,0.036
319.0,0.035
320.0,0.035
321.0,0.034
322.0,0.033
323.0,0.033
324.0,0.033
325.0,0.033
326.0,0.032
327.0,0.032
328.0,0.031
329.0,0.031
330.0,0.030
331.0,0.030
332.0,0.029
333.0,0.029
334.0,0.029
335.0,0.028
336.0,0.028
337.0,0.027
338.0,0.027
339.0,0.027
340.0,0.026
341.0,0.026
342.0,0.025
343.0,0.025
344.0,0.025
345.0,0.025
346.0,0.024
347.0,0.024
348.0,0.024
349.0,0.024
350.0,0.024
351.0,0.024
352.0,0.024
353.0,0.024
354.0,0.024
355.0,0.024
356.0,0.024
357.0,0.024
358.0,0.024
359.0,0.025
360.0,0.025
361.0,0.025
362.0,0.025
363.0,0.026
