Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/06/2023 03:06:34 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,3.785
201.0,3.854
202.0,3.897
203.0,3.963
204.0,3.997
205.0,4.045
206.0,4.106
207.0,4.112
208.0,4.167
209.0,4.202
210.0,4.232
211.0,4.240
212.0,4.284
213.0,4.354
214.0,4.388
215.0,4.399
216.0,4.418
217.0,4.454
218.0,4.471
219.0,4.486
220.0,4.458
221.0,4.507
222.0,4.560
223.0,4.504
224.0,4.593
225.0,4.543
226.0,4.242
227.0,3.552
228.0,2.874
229.0,2.390
230.0,2.053
231.0,1.852
232.0,1.754
233.0,1.745
234.0,1.802
235.0,1.912
236.0,2.078
237.0,2.297
238.0,2.574
239.0,2.909
240.0,3.280
241.0,3.691
242.0,4.114
243.0,4.429
244.0,4.645
245.0,4.710
246.0,4.783
247.0,4.748
248.0,4.782
249.0,4.854
250.0,4.825
251.0,4.754
252.0,4.792
253.0,4.829
254.0,4.784
255.0,4.755
256.0,4.747
257.0,4.749
258.0,4.722
259.0,4.754
260.0,4.706
261.0,4.753
262.0,4.696
263.0,4.781
264.0,4.724
265.0,4.715
266.0,4.709
267.0,4.655
268.0,4.656
269.0,4.655
270.0,4.674
271.0,4.681
272.0,4.577
273.0,4.590
274.0,4.590
275.0,4.473
276.0,4.377
277.0,4.122
278.0,3.815
279.0,3.486
280.0,3.156
281.0,2.860
282.0,2.603
283.0,2.359
284.0,2.139
285.0,1.946
286.0,1.765
287.0,1.611
288.0,1.476
289.0,1.353
290.0,1.250
291.0,1.162
292.0,1.084
293.0,1.017
294.0,0.959
295.0,0.908
296.0,0.864
297.0,0.827
298.0,0.794
299.0,0.765
300.0,0.740
301.0,0.718
302.0,0.696
303.0,0.678
304.0,0.660
305.0,0.644
306.0,0.630
307.0,0.615
308.0,0.601
309.0,0.589
310.0,0.576
311.0,0.564
312.0,0.552
313.0,0.540
314.0,0.529
315.0,0.519
316.0,0.508
317.0,0.498
318.0,0.487
319.0,0.477
320.0,0.467
321.0,0.458
322.0,0.449
323.0,0.440
324.0,0.430
325.0,0.422
326.0,0.413
327.0,0.405
328.0,0.397
329.0,0.390
330.0,0.382
331.0,0.375
332.0,0.368
333.0,0.362
334.0,0.355
335.0,0.349
336.0,0.344
337.0,0.339
338.0,0.335
339.0,0.330
340.0,0.327
341.0,0.325
342.0,0.323
