Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/30/2023 09:36:44 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.182
301.0,1.172
302.0,1.160
303.0,1.150
304.0,1.139
305.0,1.128
306.0,1.117
307.0,1.107
308.0,1.096
309.0,1.088
310.0,1.077
311.0,1.066
312.0,1.055
313.0,1.043
314.0,1.032
315.0,1.020
316.0,1.010
317.0,1.001
318.0,0.991
319.0,0.981
320.0,0.971
321.0,0.960
322.0,0.951
323.0,0.941
324.0,0.934
325.0,0.927
326.0,0.919
327.0,0.910
328.0,0.902
329.0,0.896
330.0,0.891
331.0,0.884
332.0,0.877
333.0,0.870
334.0,0.865
335.0,0.861
336.0,0.856
337.0,0.851
338.0,0.847
339.0,0.845
340.0,0.842
341.0,0.840
342.0,0.836
343.0,0.834
344.0,0.832
345.0,0.829
346.0,0.826
347.0,0.823
348.0,0.822
349.0,0.820
350.0,0.818
351.0,0.815
352.0,0.813
353.0,0.812
354.0,0.810
355.0,0.807
356.0,0.804
357.0,0.803
358.0,0.802
359.0,0.801
360.0,0.798
361.0,0.797
362.0,0.795
363.0,0.793
364.0,0.791
365.0,0.787
366.0,0.785
367.0,0.783
368.0,0.782
369.0,0.780
370.0,0.777
371.0,0.775
372.0,0.771
373.0,0.769
374.0,0.767
375.0,0.766
376.0,0.763
377.0,0.761
378.0,0.758
379.0,0.756
380.0,0.753
381.0,0.750
382.0,0.748
383.0,0.746
384.0,0.744
385.0,0.742
386.0,0.739
387.0,0.737
388.0,0.734
389.0,0.732
390.0,0.730
391.0,0.726
392.0,0.724
393.0,0.722
394.0,0.720
395.0,0.717
396.0,0.715
397.0,0.713
398.0,0.711
399.0,0.709
400.0,0.707
401.0,0.705
402.0,0.703
403.0,0.701
404.0,0.699
405.0,0.698
406.0,0.695
407.0,0.693
408.0,0.691
409.0,0.689
410.0,0.687
411.0,0.685
412.0,0.683
413.0,0.681
414.0,0.679
415.0,0.678
416.0,0.676
417.0,0.674
418.0,0.673
419.0,0.671
420.0,0.670
421.0,0.668
422.0,0.667
423.0,0.665
424.0,0.664
425.0,0.662
426.0,0.661
427.0,0.659
428.0,0.658
429.0,0.657
430.0,0.656
431.0,0.655
432.0,0.654
433.0,0.653
434.0,0.652
435.0,0.650
436.0,0.649
437.0,0.648
438.0,0.647
439.0,0.646
440.0,0.645
