Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,35 uL de seed
Sample ID
Option
Analyst
Date/Time:,01/11/2023 10:04:44 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1400 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.587
301.0,1.580
302.0,1.569
303.0,1.564
304.0,1.557
305.0,1.547
306.0,1.536
307.0,1.527
308.0,1.520
309.0,1.511
310.0,1.502
311.0,1.495
312.0,1.487
313.0,1.477
314.0,1.468
315.0,1.461
316.0,1.456
317.0,1.447
318.0,1.437
319.0,1.427
320.0,1.419
321.0,1.412
322.0,1.405
323.0,1.396
324.0,1.389
325.0,1.381
326.0,1.374
327.0,1.365
328.0,1.356
329.0,1.349
330.0,1.345
331.0,1.338
332.0,1.331
333.0,1.321
334.0,1.314
335.0,1.308
336.0,1.304
337.0,1.298
338.0,1.293
339.0,1.286
340.0,1.281
341.0,1.274
342.0,1.268
343.0,1.263
344.0,1.261
345.0,1.259
346.0,1.256
347.0,1.251
348.0,1.248
349.0,1.245
350.0,1.245
351.0,1.244
352.0,1.244
353.0,1.242
354.0,1.240
355.0,1.238
356.0,1.237
357.0,1.237
358.0,1.236
359.0,1.233
360.0,1.232
361.0,1.232
362.0,1.230
363.0,1.229
364.0,1.226
365.0,1.225
366.0,1.223
367.0,1.221
368.0,1.220
369.0,1.217
370.0,1.214
371.0,1.212
372.0,1.211
373.0,1.209
374.0,1.205
375.0,1.204
376.0,1.203
377.0,1.203
378.0,1.200
379.0,1.197
380.0,1.194
381.0,1.191
382.0,1.188
383.0,1.186
384.0,1.184
385.0,1.181
386.0,1.178
387.0,1.175
388.0,1.173
389.0,1.171
390.0,1.169
391.0,1.166
392.0,1.164
393.0,1.161
394.0,1.158
395.0,1.154
396.0,1.151
397.0,1.149
398.0,1.147
399.0,1.144
400.0,1.142
401.0,1.139
402.0,1.137
403.0,1.135
404.0,1.132
405.0,1.130
406.0,1.127
407.0,1.124
408.0,1.122
409.0,1.119
410.0,1.117
411.0,1.114
412.0,1.112
413.0,1.109
414.0,1.108
415.0,1.105
416.0,1.103
417.0,1.101
418.0,1.099
419.0,1.097
420.0,1.095
421.0,1.092
422.0,1.090
423.0,1.088
424.0,1.086
425.0,1.084
426.0,1.081
427.0,1.079
428.0,1.077
429.0,1.075
430.0,1.073
431.0,1.071
432.0,1.070
433.0,1.068
434.0,1.066
435.0,1.063
436.0,1.061
437.0,1.059
438.0,1.058
439.0,1.056
440.0,1.055
441.0,1.053
442.0,1.051
443.0,1.049
444.0,1.047
445.0,1.045
446.0,1.044
447.0,1.043
448.0,1.041
449.0,1.040
450.0,1.039
451.0,1.037
452.0,1.035
453.0,1.033
454.0,1.033
455.0,1.032
456.0,1.030
457.0,1.029
458.0,1.028
459.0,1.028
460.0,1.027
461.0,1.027
462.0,1.026
463.0,1.026
