Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,35 ul de seed
Sample ID
Option
Analyst
Date/Time:,01/10/2023 01:49:56 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1400 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.653
301.0,1.647
302.0,1.640
303.0,1.628
304.0,1.617
305.0,1.607
306.0,1.602
307.0,1.597
308.0,1.588
309.0,1.580
310.0,1.569
311.0,1.566
312.0,1.557
313.0,1.551
314.0,1.540
315.0,1.533
316.0,1.527
317.0,1.521
318.0,1.512
319.0,1.505
320.0,1.498
321.0,1.491
322.0,1.482
323.0,1.475
324.0,1.468
325.0,1.462
326.0,1.455
327.0,1.446
328.0,1.441
329.0,1.434
330.0,1.428
331.0,1.420
332.0,1.414
333.0,1.407
334.0,1.401
335.0,1.395
336.0,1.388
337.0,1.383
338.0,1.376
339.0,1.373
340.0,1.367
341.0,1.362
342.0,1.357
343.0,1.353
344.0,1.352
345.0,1.349
346.0,1.345
347.0,1.342
348.0,1.340
349.0,1.340
350.0,1.338
351.0,1.335
352.0,1.334
353.0,1.332
354.0,1.333
355.0,1.332
356.0,1.330
357.0,1.330
358.0,1.328
359.0,1.327
360.0,1.325
361.0,1.325
362.0,1.324
363.0,1.323
364.0,1.320
365.0,1.319
366.0,1.318
367.0,1.316
368.0,1.314
369.0,1.311
370.0,1.311
371.0,1.309
372.0,1.307
373.0,1.304
374.0,1.303
375.0,1.301
376.0,1.298
377.0,1.296
378.0,1.294
379.0,1.292
380.0,1.289
381.0,1.287
382.0,1.285
383.0,1.284
384.0,1.281
385.0,1.278
386.0,1.274
387.0,1.272
388.0,1.270
389.0,1.268
390.0,1.266
391.0,1.264
392.0,1.261
393.0,1.257
394.0,1.254
395.0,1.252
396.0,1.249
397.0,1.247
398.0,1.244
399.0,1.242
400.0,1.240
401.0,1.238
402.0,1.235
403.0,1.233
404.0,1.230
405.0,1.227
406.0,1.226
407.0,1.223
408.0,1.221
409.0,1.217
410.0,1.215
411.0,1.212
412.0,1.210
413.0,1.208
414.0,1.206
415.0,1.204
416.0,1.201
417.0,1.199
418.0,1.197
419.0,1.195
420.0,1.192
421.0,1.190
422.0,1.188
423.0,1.185
424.0,1.184
425.0,1.181
426.0,1.180
427.0,1.178
428.0,1.176
429.0,1.174
430.0,1.172
431.0,1.169
432.0,1.167
433.0,1.165
434.0,1.163
435.0,1.161
436.0,1.158
437.0,1.156
438.0,1.154
439.0,1.153
440.0,1.152
441.0,1.150
442.0,1.148
443.0,1.146
444.0,1.145
445.0,1.143
446.0,1.141
447.0,1.139
448.0,1.137
449.0,1.136
450.0,1.134
451.0,1.133
452.0,1.132
453.0,1.131
454.0,1.129
455.0,1.127
456.0,1.126
457.0,1.125
458.0,1.124
459.0,1.123
460.0,1.122
461.0,1.121
462.0,1.120
463.0,1.119
