Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,Teste T3
Sample ID
Option
Analyst
Date/Time:,01/06/2023 02:38:43 PM
Comments
Parameter File Name:,bsa.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,800 nm
End:,200 nm
Data Interval:,1.0
Scan Speed:,Medium speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,2.0
Detector Unit:,Direct Receiving of Light
Light Source Switch Wavelength:,323
S/R Switch:,Standard
Stair Correction:,OFF
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
200.0,3.391
201.0,3.449
202.0,3.496
203.0,3.555
204.0,3.596
205.0,3.621
206.0,3.685
207.0,3.703
208.0,3.741
209.0,3.774
210.0,3.813
211.0,3.850
212.0,3.873
213.0,3.902
214.0,3.917
215.0,3.929
216.0,3.967
217.0,3.992
218.0,4.019
219.0,4.016
220.0,4.050
221.0,4.069
222.0,4.054
223.0,4.086
224.0,4.040
225.0,3.922
226.0,3.740
227.0,3.556
228.0,3.450
229.0,3.399
230.0,3.415
231.0,3.457
232.0,3.512
233.0,3.566
234.0,3.601
235.0,3.630
236.0,3.639
237.0,3.653
238.0,3.650
239.0,3.659
240.0,3.650
241.0,3.631
242.0,3.589
243.0,3.518
244.0,3.401
245.0,3.224
246.0,3.003
247.0,2.764
248.0,2.508
249.0,2.251
250.0,2.024
251.0,1.814
252.0,1.627
253.0,1.472
254.0,1.344
255.0,1.233
256.0,1.146
257.0,1.073
258.0,1.007
259.0,0.950
260.0,0.899
261.0,0.851
262.0,0.805
263.0,0.761
264.0,0.718
265.0,0.676
266.0,0.634
267.0,0.593
268.0,0.551
269.0,0.511
270.0,0.471
271.0,0.433
272.0,0.398
273.0,0.364
274.0,0.333
275.0,0.304
276.0,0.276
277.0,0.251
278.0,0.228
279.0,0.207
280.0,0.188
281.0,0.172
282.0,0.158
283.0,0.144
284.0,0.132
285.0,0.122
286.0,0.111
287.0,0.103
288.0,0.095
289.0,0.089
290.0,0.083
291.0,0.078
292.0,0.073
293.0,0.069
294.0,0.066
295.0,0.063
296.0,0.060
297.0,0.058
298.0,0.056
299.0,0.054
300.0,0.053
301.0,0.052
302.0,0.051
303.0,0.049
304.0,0.048
305.0,0.047
306.0,0.046
307.0,0.045
308.0,0.044
309.0,0.044
310.0,0.042
311.0,0.041
312.0,0.041
313.0,0.040
314.0,0.039
315.0,0.038
316.0,0.038
317.0,0.037
318.0,0.037
319.0,0.036
320.0,0.035
321.0,0.034
322.0,0.034
323.0,0.033
324.0,0.032
325.0,0.031
326.0,0.031
327.0,0.030
328.0,0.030
329.0,0.029
330.0,0.029
331.0,0.029
332.0,0.028
333.0,0.028
334.0,0.027
335.0,0.027
336.0,0.027
337.0,0.027
338.0,0.026
339.0,0.026
340.0,0.026
341.0,0.026
342.0,0.026
343.0,0.026
344.0,0.026
345.0,0.025
346.0,0.026
347.0,0.026
348.0,0.026
349.0,0.026
350.0,0.027
351.0,0.027
352.0,0.028
353.0,0.028
354.0,0.029
355.0,0.030
356.0,0.031
357.0,0.031
358.0,0.033
359.0,0.033
360.0,0.035
361.0,0.036
362.0,0.037
363.0,0.039
364.0,0.040
365.0,0.042
366.0,0.043
367.0,0.045
368.0,0.047
369.0,0.048
370.0,0.050
371.0,0.051
372.0,0.053
373.0,0.055
374.0,0.057
375.0,0.059
376.0,0.060
377.0,0.062
378.0,0.063
379.0,0.064
380.0,0.066
381.0,0.067
382.0,0.069
383.0,0.070
384.0,0.071
385.0,0.072
386.0,0.072
387.0,0.073
388.0,0.074
389.0,0.075
390.0,0.075
391.0,0.075
392.0,0.076
393.0,0.076
394.0,0.076
395.0,0.075
396.0,0.075
397.0,0.075
398.0,0.074
399.0,0.074
400.0,0.073
401.0,0.073
402.0,0.072
403.0,0.071
404.0,0.070
405.0,0.070
406.0,0.069
407.0,0.068
408.0,0.067
409.0,0.065
410.0,0.064
411.0,0.063
412.0,0.062
413.0,0.061
414.0,0.059
415.0,0.058
416.0,0.057
417.0,0.056
418.0,0.055
419.0,0.053
420.0,0.052
421.0,0.051
422.0,0.050
423.0,0.049
424.0,0.047
425.0,0.046
426.0,0.045
427.0,0.044
428.0,0.043
429.0,0.042
430.0,0.041
431.0,0.040
432.0,0.039
433.0,0.038
434.0,0.037
435.0,0.037
436.0,0.036
437.0,0.035
438.0,0.034
439.0,0.034
440.0,0.033
441.0,0.033
442.0,0.032
443.0,0.031
444.0,0.031
445.0,0.030
446.0,0.030
447.0,0.030
448.0,0.029
449.0,0.029
450.0,0.029
451.0,0.028
452.0,0.028
453.0,0.027
454.0,0.027
455.0,0.027
456.0,0.027
457.0,0.026
458.0,0.026
459.0,0.026
460.0,0.025
461.0,0.025
462.0,0.025
463.0,0.025
464.0,0.024
465.0,0.024
466.0,0.024
467.0,0.023
468.0,0.023
469.0,0.023
470.0,0.023
471.0,0.022
472.0,0.022
473.0,0.022
474.0,0.021
475.0,0.021
476.0,0.020
477.0,0.020
478.0,0.020
479.0,0.019
480.0,0.019
481.0,0.019
482.0,0.018
483.0,0.018
484.0,0.017
485.0,0.017
486.0,0.016
487.0,0.016
488.0,0.016
489.0,0.015
490.0,0.015
491.0,0.014
492.0,0.014
493.0,0.014
494.0,0.013
495.0,0.013
496.0,0.013
497.0,0.012
498.0,0.012
499.0,0.011
500.0,0.011
501.0,0.011
502.0,0.010
503.0,0.010
504.0,0.010
505.0,0.010
506.0,0.009
507.0,0.009
508.0,0.009
509.0,0.008
510.0,0.008
511.0,0.008
512.0,0.008
513.0,0.008
514.0,0.007
515.0,0.007
516.0,0.007
517.0,0.007
518.0,0.007
519.0,0.006
520.0,0.006
521.0,0.006
522.0,0.006
523.0,0.006
524.0,0.006
525.0,0.006
526.0,0.005
527.0,0.005
528.0,0.005
529.0,0.005
530.0,0.005
531.0,0.005
532.0,0.005
533.0,0.005
534.0,0.005
535.0,0.005
536.0,0.004
537.0,0.004
538.0,0.004
539.0,0.004
540.0,0.004
541.0,0.004
542.0,0.004
543.0,0.004
544.0,0.004
545.0,0.004
546.0,0.004
547.0,0.004
548.0,0.004
