Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,AA 300 uL
Sample ID
Option
Analyst
Date/Time:,01/09/2023 10:48:06 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1400 nm
End:,220 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
220.0,7.891
221.0,5.835
222.0,3.775
223.0,4.373
224.0,4.452
225.0,6.512
226.0,6.029
227.0,5.985
228.0,5.985
229.0,7.980
230.0,8.037
231.0,6.268
232.0,6.268
233.0,8.231
234.0,8.036
235.0,8.036
236.0,6.062
237.0,8.026
238.0,8.026
239.0,10.000
240.0,8.275
241.0,8.275
242.0,8.275
243.0,8.210
244.0,8.210
245.0,8.210
246.0,8.085
247.0,6.031
248.0,4.106
249.0,3.927
250.0,3.868
251.0,3.570
252.0,3.529
253.0,3.384
254.0,3.384
255.0,3.252
256.0,3.237
257.0,3.197
258.0,3.180
259.0,3.134
260.0,3.104
261.0,3.037
262.0,3.037
263.0,2.995
264.0,3.010
265.0,2.975
266.0,2.986
267.0,2.995
268.0,2.977
269.0,2.924
270.0,2.907
271.0,2.916
272.0,2.932
273.0,2.902
274.0,2.876
275.0,2.869
276.0,2.863
277.0,2.858
278.0,2.857
279.0,2.889
280.0,2.907
281.0,2.857
282.0,2.826
283.0,2.797
284.0,2.801
285.0,2.757
286.0,2.746
287.0,2.733
288.0,2.726
289.0,2.707
290.0,2.695
291.0,2.702
292.0,2.701
293.0,2.674
294.0,2.641
295.0,2.633
296.0,2.635
297.0,2.609
298.0,2.570
299.0,2.547
300.0,2.547
301.0,2.525
302.0,2.511
303.0,2.496
304.0,2.486
305.0,2.474
306.0,2.455
307.0,2.448
308.0,2.436
309.0,2.426
310.0,2.403
311.0,2.385
312.0,2.369
313.0,2.366
314.0,2.358
315.0,2.344
316.0,2.328
317.0,2.313
318.0,2.302
319.0,2.290
320.0,2.273
321.0,2.258
322.0,2.242
323.0,2.231
324.0,2.216
325.0,2.205
326.0,2.193
327.0,2.180
328.0,2.172
329.0,2.162
330.0,2.154
331.0,2.140
332.0,2.133
333.0,2.122
334.0,2.112
335.0,2.103
336.0,2.096
337.0,2.090
338.0,2.079
339.0,2.068
340.0,2.058
341.0,2.054
342.0,2.048
343.0,2.046
344.0,2.037
345.0,2.032
346.0,2.025
347.0,2.024
348.0,2.020
349.0,2.017
350.0,2.012
351.0,2.011
352.0,2.009
353.0,2.005
354.0,2.001
355.0,1.995
356.0,1.993
357.0,1.991
358.0,1.990
359.0,1.989
360.0,1.985
361.0,1.984
362.0,1.982
363.0,1.977
364.0,1.976
365.0,1.972
366.0,1.973
367.0,1.970
368.0,1.966
369.0,1.966
370.0,1.962
371.0,1.960
372.0,1.954
373.0,1.943
374.0,1.935
375.0,1.930
376.0,1.930
377.0,1.926
378.0,1.922
379.0,1.917
380.0,1.912
381.0,1.907
382.0,1.904
383.0,1.900
384.0,1.897
385.0,1.897
386.0,1.892
387.0,1.886
388.0,1.879
389.0,1.875
390.0,1.873
391.0,1.867
392.0,1.861
393.0,1.856
394.0,1.851
395.0,1.849
396.0,1.844
397.0,1.839
398.0,1.834
399.0,1.832
400.0,1.829
401.0,1.825
402.0,1.821
403.0,1.816
404.0,1.811
405.0,1.805
406.0,1.801
407.0,1.798
408.0,1.794
409.0,1.790
410.0,1.789
411.0,1.786
412.0,1.783
413.0,1.777
414.0,1.771
415.0,1.767
416.0,1.764
417.0,1.762
418.0,1.761
419.0,1.758
420.0,1.755
421.0,1.748
422.0,1.746
423.0,1.741
424.0,1.739
425.0,1.736
426.0,1.734
427.0,1.733
428.0,1.730
429.0,1.727
430.0,1.723
431.0,1.721
432.0,1.719
433.0,1.717
434.0,1.714
435.0,1.711
436.0,1.711
437.0,1.709
438.0,1.707
439.0,1.704
440.0,1.703
441.0,1.702
442.0,1.700
443.0,1.699
444.0,1.698
445.0,1.697
446.0,1.696
447.0,1.694
448.0,1.693
449.0,1.694
450.0,1.693
451.0,1.691
452.0,1.689
453.0,1.690
454.0,1.690
455.0,1.692
456.0,1.692
457.0,1.693
458.0,1.694
459.0,1.695
460.0,1.697
461.0,1.699
462.0,1.701
463.0,1.703
464.0,1.704
465.0,1.706
466.0,1.709
467.0,1.713
468.0,1.717
469.0,1.721
470.0,1.725
471.0,1.730
472.0,1.737
473.0,1.744
474.0,1.751
475.0,1.757
476.0,1.765
477.0,1.774
478.0,1.784
479.0,1.795
480.0,1.807
481.0,1.819
482.0,1.831
483.0,1.844
484.0,1.859
485.0,1.875
486.0,1.892
487.0,1.908
488.0,1.926
489.0,1.945
490.0,1.966
491.0,1.989
492.0,2.012
493.0,2.037
494.0,2.061
495.0,2.088
496.0,2.116
497.0,2.145
498.0,2.175
499.0,2.206
500.0,2.238
501.0,2.272
502.0,2.305
503.0,2.339
504.0,2.368
505.0,2.403
506.0,2.437
507.0,2.475
508.0,2.508
509.0,2.543
510.0,2.577
511.0,2.613
512.0,2.646
513.0,2.680
514.0,2.711
515.0,2.745
516.0,2.772
517.0,2.807
518.0,2.848
519.0,2.882
520.0,2.915
521.0,2.930
522.0,2.955
523.0,2.980
524.0,3.001
525.0,3.029
526.0,3.045
527.0,3.066
528.0,3.082
529.0,3.102
530.0,3.123
531.0,3.141
532.0,3.161
533.0,3.177
534.0,3.192
535.0,3.194
536.0,3.190
537.0,3.189
538.0,3.184
539.0,3.191
540.0,3.188
541.0,3.185
542.0,3.182
543.0,3.173
544.0,3.160
545.0,3.133
546.0,3.112
547.0,3.086
548.0,3.059
549.0,3.031
550.0,3.005
551.0,2.983
552.0,2.947
553.0,2.913
554.0,2.875
555.0,2.834
556.0,2.788
557.0,2.739
558.0,2.702
559.0,2.662
560.0,2.621
561.0,2.572
562.0,2.521
563.0,2.471
564.0,2.416
565.0,2.364
566.0,2.308
567.0,2.257
568.0,2.206
569.0,2.156
570.0,2.105
571.0,2.053
572.0,2.004
573.0,1.955
574.0,1.910
575.0,1.864
576.0,1.819
577.0,1.777
578.0,1.735
579.0,1.695
580.0,1.654
581.0,1.615
582.0,1.577
583.0,1.541
584.0,1.505
585.0,1.471
586.0,1.438
587.0,1.405
588.0,1.373
589.0,1.342
590.0,1.311
591.0,1.283
592.0,1.254
593.0,1.227
594.0,1.199
595.0,1.173
596.0,1.147
597.0,1.123
598.0,1.100
599.0,1.078
600.0,1.056
601.0,1.036
602.0,1.016
603.0,0.998
604.0,0.979
605.0,0.962
606.0,0.945
607.0,0.928
608.0,0.913
609.0,0.897
610.0,0.882
611.0,0.867
612.0,0.853
613.0,0.841
614.0,0.828
615.0,0.817
616.0,0.807
617.0,0.796
618.0,0.787
619.0,0.778
620.0,0.770
621.0,0.762
622.0,0.755
623.0,0.748
624.0,0.742
625.0,0.736
626.0,0.730
627.0,0.726
628.0,0.721
629.0,0.717
630.0,0.714
631.0,0.711
632.0,0.708
633.0,0.706
634.0,0.705
635.0,0.703
636.0,0.702
637.0,0.701
638.0,0.701
639.0,0.702
640.0,0.703
641.0,0.703
642.0,0.704
643.0,0.706
644.0,0.708
645.0,0.710
646.0,0.713
647.0,0.715
648.0,0.718
649.0,0.721
650.0,0.725
651.0,0.729
652.0,0.733
653.0,0.738
654.0,0.742
655.0,0.747
656.0,0.753
657.0,0.759
658.0,0.765
659.0,0.772
660.0,0.778
661.0,0.785
662.0,0.791
663.0,0.798
664.0,0.805
665.0,0.813
666.0,0.820
667.0,0.827
668.0,0.835
669.0,0.844
670.0,0.853
671.0,0.861
672.0,0.869
673.0,0.877
674.0,0.886
675.0,0.896
676.0,0.905
677.0,0.914
678.0,0.923
679.0,0.933
680.0,0.943
681.0,0.953
682.0,0.962
683.0,0.972
684.0,0.982
685.0,0.992
686.0,1.002
687.0,1.012
688.0,1.022
689.0,1.032
690.0,1.042
691.0,1.052
692.0,1.062
693.0,1.072
694.0,1.081
695.0,1.091
696.0,1.100
697.0,1.109
698.0,1.119
699.0,1.129
700.0,1.139
701.0,1.148
702.0,1.157
703.0,1.167
704.0,1.176
705.0,1.184
706.0,1.191
707.0,1.200
708.0,1.209
709.0,1.217
710.0,1.224
711.0,1.231
712.0,1.238
713.0,1.246
714.0,1.253
715.0,1.261
716.0,1.267
717.0,1.273
718.0,1.280
719.0,1.285
720.0,1.291
721.0,1.295
722.0,1.302
723.0,1.308
724.0,1.312
725.0,1.315
726.0,1.318
727.0,1.322
728.0,1.325
729.0,1.328
730.0,1.330
731.0,1.332
732.0,1.334
733.0,1.336
734.0,1.337
735.0,1.338
736.0,1.338
737.0,1.339
738.0,1.339
739.0,1.339
740.0,1.341
741.0,1.339
742.0,1.339
743.0,1.337
744.0,1.337
745.0,1.334
746.0,1.331
747.0,1.328
748.0,1.327
749.0,1.325
750.0,1.322
751.0,1.318
752.0,1.313
753.0,1.307
754.0,1.303
755.0,1.297
756.0,1.291
757.0,1.284
758.0,1.278
759.0,1.272
760.0,1.266
761.0,1.260
762.0,1.253
763.0,1.245
764.0,1.236
765.0,1.228
766.0,1.219
767.0,1.212
768.0,1.201
769.0,1.190
770.0,1.179
771.0,1.169
772.0,1.160
773.0,1.149
774.0,1.139
775.0,1.128
776.0,1.117
777.0,1.105
778.0,1.093
779.0,1.080
780.0,1.069
781.0,1.058
782.0,1.046
783.0,1.034
784.0,1.021
785.0,1.007
786.0,0.994
787.0,0.981
788.0,0.967
789.0,0.954
790.0,0.941
791.0,0.928
792.0,0.915
793.0,0.901
794.0,0.888
795.0,0.876
796.0,0.863
797.0,0.850
798.0,0.836
799.0,0.823
800.0,0.809
801.0,0.795
802.0,0.782
803.0,0.770
804.0,0.756
805.0,0.743
806.0,0.729
807.0,0.715
808.0,0.701
809.0,0.688
810.0,0.676
811.0,0.664
812.0,0.653
813.0,0.640
814.0,0.627
815.0,0.616
816.0,0.605
817.0,0.594
818.0,0.581
819.0,0.570
820.0,0.558
821.0,0.548
822.0,0.535
823.0,0.524
824.0,0.513
825.0,0.503
826.0,0.492
827.0,0.481
828.0,0.471
829.0,0.461
830.0,0.451
831.0,0.441
832.0,0.432
833.0,0.422
834.0,0.413
835.0,0.404
836.0,0.396
837.0,0.387
838.0,0.379
839.0,0.370
840.0,0.362
841.0,0.354
842.0,0.347
843.0,0.340
844.0,0.332
845.0,0.325
846.0,0.318
847.0,0.311
848.0,0.304
849.0,0.298
850.0,0.291
851.0,0.285
852.0,0.279
853.0,0.273
854.0,0.267
855.0,0.262
856.0,0.256
857.0,0.251
858.0,0.246
859.0,0.241
860.0,0.237
861.0,0.232
862.0,0.227
863.0,0.222
864.0,0.218
865.0,0.213
866.0,0.208
867.0,0.204
868.0,0.200
869.0,0.196
870.0,0.192
871.0,0.188
872.0,0.185
873.0,0.181
874.0,0.178
875.0,0.175
876.0,0.172
877.0,0.168
878.0,0.165
879.0,0.162
880.0,0.159
881.0,0.157
882.0,0.154
883.0,0.152
884.0,0.149
885.0,0.146
886.0,0.143
887.0,0.141
888.0,0.139
889.0,0.137
890.0,0.134
891.0,0.132
892.0,0.130
893.0,0.128
894.0,0.126
895.0,0.123
896.0,0.121
897.0,0.120
898.0,0.118
899.0,0.116
900.0,0.114
901.0,0.113
902.0,0.111
903.0,0.109
904.0,0.108
905.0,0.106
906.0,0.105
907.0,0.104
908.0,0.102
909.0,0.101
910.0,0.099
911.0,0.098
912.0,0.097
913.0,0.096
914.0,0.094
915.0,0.093
916.0,0.092
917.0,0.091
918.0,0.090
919.0,0.089
920.0,0.088
921.0,0.087
922.0,0.086
923.0,0.084
924.0,0.083
925.0,0.082
926.0,0.081
927.0,0.081
928.0,0.079
929.0,0.078
930.0,0.077
931.0,0.076
932.0,0.075
933.0,0.073
934.0,0.072
935.0,0.071
936.0,0.069
937.0,0.068
938.0,0.066
939.0,0.065
940.0,0.063
941.0,0.062
942.0,0.060
943.0,0.059
944.0,0.058
945.0,0.057
946.0,0.055
947.0,0.054
948.0,0.052
949.0,0.050
950.0,0.049
951.0,0.048
952.0,0.046
953.0,0.045
954.0,0.044
955.0,0.042
956.0,0.041
957.0,0.040
958.0,0.039
959.0,0.037
960.0,0.036
961.0,0.036
962.0,0.035
963.0,0.034
964.0,0.034
965.0,0.033
966.0,0.033
967.0,0.032
968.0,0.032
969.0,0.031
970.0,0.031
971.0,0.030
972.0,0.030
973.0,0.030
974.0,0.029
975.0,0.029
976.0,0.029
977.0,0.028
978.0,0.028
979.0,0.028
980.0,0.027
981.0,0.027
982.0,0.027
983.0,0.027
984.0,0.027
985.0,0.027
986.0,0.027
987.0,0.026
988.0,0.026
989.0,0.026
990.0,0.026
991.0,0.025
992.0,0.026
993.0,0.026
994.0,0.026
995.0,0.025
996.0,0.025
997.0,0.025
998.0,0.025
999.0,0.025
1000.0,0.025
1001.0,0.025
1002.0,0.025
1003.0,0.025
1004.0,0.025
1005.0,0.024
1006.0,0.025
1007.0,0.025
1008.0,0.025
1009.0,0.025
1010.0,0.025
1011.0,0.025
1012.0,0.025
1013.0,0.025
1014.0,0.025
1015.0,0.025
1016.0,0.025
1017.0,0.025
1018.0,0.025
1019.0,0.025
1020.0,0.025
1021.0,0.025
1022.0,0.025
1023.0,0.025
1024.0,0.025
1025.0,0.025
1026.0,0.025
1027.0,0.026
1028.0,0.026
1029.0,0.026
1030.0,0.026
1031.0,0.026
1032.0,0.026
1033.0,0.026
1034.0,0.026
1035.0,0.026
1036.0,0.026
1037.0,0.026
1038.0,0.026
1039.0,0.026
1040.0,0.026
1041.0,0.026
1042.0,0.026
1043.0,0.026
1044.0,0.026
1045.0,0.026
1046.0,0.026
1047.0,0.026
1048.0,0.025
1049.0,0.025
1050.0,0.025
1051.0,0.025
1052.0,0.025
1053.0,0.025
1054.0,0.025
1055.0,0.025
1056.0,0.024
1057.0,0.024
1058.0,0.024
1059.0,0.024
1060.0,0.024
1061.0,0.024
1062.0,0.024
1063.0,0.024
1064.0,0.023
1065.0,0.023
1066.0,0.023
1067.0,0.023
1068.0,0.023
1069.0,0.023
1070.0,0.023
1071.0,0.022
1072.0,0.022
1073.0,0.022
1074.0,0.022
1075.0,0.022
1076.0,0.022
1077.0,0.021
1078.0,0.021
1079.0,0.021
1080.0,0.021
1081.0,0.021
1082.0,0.020
1083.0,0.020
1084.0,0.020
1085.0,0.020
1086.0,0.020
1087.0,0.019
1088.0,0.019
1089.0,0.019
1090.0,0.019
1091.0,0.018
1092.0,0.018
1093.0,0.018
1094.0,0.017
1095.0,0.017
1096.0,0.017
1097.0,0.017
1098.0,0.017
1099.0,0.017
1100.0,0.016
1101.0,0.016
1102.0,0.016
1103.0,0.016
1104.0,0.015
1105.0,0.015
1106.0,0.015
1107.0,0.015
1108.0,0.015
1109.0,0.015
1110.0,0.015
1111.0,0.015
1112.0,0.015
1113.0,0.015
1114.0,0.015
1115.0,0.015
1116.0,0.015
1117.0,0.015
1118.0,0.014
1119.0,0.014
1120.0,0.014
1121.0,0.014
1122.0,0.014
1123.0,0.013
1124.0,0.013
1125.0,0.012
1126.0,0.012
1127.0,0.011
1128.0,0.010
1129.0,0.010
1130.0,0.009
1131.0,0.009
1132.0,0.008
1133.0,0.008
1134.0,0.007
1135.0,0.006
1136.0,0.005
1137.0,0.004
1138.0,0.003
1139.0,0.001
1140.0,-0.001
1141.0,-0.002
1142.0,-0.004
1143.0,-0.006
1144.0,-0.007
1145.0,-0.009
1146.0,-0.009
1147.0,-0.010
1148.0,-0.011
1149.0,-0.012
1150.0,-0.012
1151.0,-0.011
1152.0,-0.011
1153.0,-0.011
1154.0,-0.011
1155.0,-0.010
1156.0,-0.010
1157.0,-0.009
1158.0,-0.009
1159.0,-0.009
1160.0,-0.008
1161.0,-0.008
1162.0,-0.008
1163.0,-0.008
1164.0,-0.008
1165.0,-0.008
1166.0,-0.008
1167.0,-0.008
1168.0,-0.009
1169.0,-0.009
1170.0,-0.009
1171.0,-0.009
1172.0,-0.009
1173.0,-0.008
1174.0,-0.008
1175.0,-0.008
1176.0,-0.007
1177.0,-0.007
1178.0,-0.007
1179.0,-0.007
1180.0,-0.006
1181.0,-0.006
1182.0,-0.004
1183.0,-0.003
1184.0,-0.001
1185.0,-0.001
1186.0,0.001
1187.0,0.002
1188.0,0.003
1189.0,0.004
1190.0,0.005
1191.0,0.006
1192.0,0.007
1193.0,0.008
1194.0,0.008
1195.0,0.009
1196.0,0.010
1197.0,0.011
1198.0,0.012
1199.0,0.013
1200.0,0.015
1201.0,0.016
1202.0,0.018
1203.0,0.020
1204.0,0.022
1205.0,0.024
1206.0,0.025
1207.0,0.026
1208.0,0.027
1209.0,0.028
1210.0,0.029
1211.0,0.029
1212.0,0.029
1213.0,0.028
1214.0,0.027
1215.0,0.025
1216.0,0.023
1217.0,0.020
1218.0,0.018
1219.0,0.015
1220.0,0.012
1221.0,0.009
1222.0,0.006
1223.0,0.003
1224.0,-0.001
1225.0,-0.004
1226.0,-0.006
1227.0,-0.008
1228.0,-0.010
1229.0,-0.012
1230.0,-0.014
1231.0,-0.016
1232.0,-0.017
1233.0,-0.018
1234.0,-0.019
1235.0,-0.021
1236.0,-0.021
1237.0,-0.022
1238.0,-0.023
1239.0,-0.024
1240.0,-0.024
1241.0,-0.025
1242.0,-0.026
1243.0,-0.027
1244.0,-0.027
1245.0,-0.028
1246.0,-0.028
1247.0,-0.029
1248.0,-0.029
1249.0,-0.029
1250.0,-0.029
1251.0,-0.030
1252.0,-0.030
1253.0,-0.031
1254.0,-0.030
1255.0,-0.031
1256.0,-0.031
1257.0,-0.032
1258.0,-0.032
1259.0,-0.032
1260.0,-0.033
1261.0,-0.033
1262.0,-0.034
1263.0,-0.033
1264.0,-0.034
1265.0,-0.033
1266.0,-0.033
1267.0,-0.034
1268.0,-0.034
