Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,200 uL de HCl
Sample ID
Option
Analyst
Date/Time:,01/11/2023 10:11:25 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1400 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.116
301.0,0.114
302.0,0.112
303.0,0.111
304.0,0.109
305.0,0.108
306.0,0.107
307.0,0.105
308.0,0.103
309.0,0.100
310.0,0.098
311.0,0.096
312.0,0.094
313.0,0.092
314.0,0.091
315.0,0.090
316.0,0.087
317.0,0.085
318.0,0.083
319.0,0.081
320.0,0.080
321.0,0.078
322.0,0.076
323.0,0.074
324.0,0.072
325.0,0.070
326.0,0.068
327.0,0.066
328.0,0.064
329.0,0.062
330.0,0.061
331.0,0.060
332.0,0.057
333.0,0.055
334.0,0.054
335.0,0.053
336.0,0.051
337.0,0.049
338.0,0.047
339.0,0.045
340.0,0.044
341.0,0.042
342.0,0.040
343.0,0.039
344.0,0.038
345.0,0.036
346.0,0.035
347.0,0.033
348.0,0.032
349.0,0.031
350.0,0.030
351.0,0.029
352.0,0.028
353.0,0.028
354.0,0.027
355.0,0.026
356.0,0.025
357.0,0.024
358.0,0.023
359.0,0.021
360.0,0.021
361.0,0.020
362.0,0.020
363.0,0.020
364.0,0.019
365.0,0.019
366.0,0.019
367.0,0.018
368.0,0.017
369.0,0.017
370.0,0.017
371.0,0.016
372.0,0.016
373.0,0.015
374.0,0.015
375.0,0.015
376.0,0.015
377.0,0.015
378.0,0.014
379.0,0.014
380.0,0.014
381.0,0.014
382.0,0.014
383.0,0.013
384.0,0.013
385.0,0.013
386.0,0.012
387.0,0.013
388.0,0.013
389.0,0.013
390.0,0.012
391.0,0.012
392.0,0.012
393.0,0.012
394.0,0.012
395.0,0.011
396.0,0.011
397.0,0.011
398.0,0.011
399.0,0.011
400.0,0.011
401.0,0.011
402.0,0.010
403.0,0.010
404.0,0.010
405.0,0.010
406.0,0.009
407.0,0.009
408.0,0.009
409.0,0.009
410.0,0.009
411.0,0.009
412.0,0.009
413.0,0.009
414.0,0.009
415.0,0.009
416.0,0.009
417.0,0.009
418.0,0.009
419.0,0.009
420.0,0.009
421.0,0.009
422.0,0.009
423.0,0.009
424.0,0.008
425.0,0.008
426.0,0.008
427.0,0.008
428.0,0.008
429.0,0.008
430.0,0.008
431.0,0.008
432.0,0.008
433.0,0.008
434.0,0.008
435.0,0.008
436.0,0.007
437.0,0.007
