Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/26/2023 09:49:35 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.318
301.0,0.315
302.0,0.311
303.0,0.307
304.0,0.303
305.0,0.298
306.0,0.294
307.0,0.290
308.0,0.287
309.0,0.283
310.0,0.280
311.0,0.276
312.0,0.273
313.0,0.268
314.0,0.265
315.0,0.260
316.0,0.258
317.0,0.255
318.0,0.253
319.0,0.249
320.0,0.246
321.0,0.243
322.0,0.241
323.0,0.238
324.0,0.235
325.0,0.233
326.0,0.230
327.0,0.228
328.0,0.225
329.0,0.223
330.0,0.222
331.0,0.221
332.0,0.219
333.0,0.217
334.0,0.215
335.0,0.214
336.0,0.212
337.0,0.210
338.0,0.209
339.0,0.208
340.0,0.206
341.0,0.204
342.0,0.202
343.0,0.201
344.0,0.200
345.0,0.200
346.0,0.199
347.0,0.198
348.0,0.197
349.0,0.196
350.0,0.195
351.0,0.194
352.0,0.193
353.0,0.192
354.0,0.192
355.0,0.191
356.0,0.190
357.0,0.189
358.0,0.188
359.0,0.187
360.0,0.186
361.0,0.185
362.0,0.184
363.0,0.183
364.0,0.182
365.0,0.181
366.0,0.180
367.0,0.179
368.0,0.179
369.0,0.178
370.0,0.177
371.0,0.175
372.0,0.175
373.0,0.174
374.0,0.173
375.0,0.173
376.0,0.171
377.0,0.171
378.0,0.170
379.0,0.169
380.0,0.168
381.0,0.167
382.0,0.166
383.0,0.165
384.0,0.164
385.0,0.164
386.0,0.162
387.0,0.162
388.0,0.161
389.0,0.161
390.0,0.160
391.0,0.159
392.0,0.158
393.0,0.158
394.0,0.157
395.0,0.156
396.0,0.156
397.0,0.155
398.0,0.154
399.0,0.153
400.0,0.153
401.0,0.152
402.0,0.151
403.0,0.150
404.0,0.150
405.0,0.149
406.0,0.148
407.0,0.148
408.0,0.147
409.0,0.147
410.0,0.146
411.0,0.146
412.0,0.145
413.0,0.145
414.0,0.144
415.0,0.144
416.0,0.143
417.0,0.143
418.0,0.142
419.0,0.142
420.0,0.141
421.0,0.141
422.0,0.140
423.0,0.140
424.0,0.140
425.0,0.139
426.0,0.139
427.0,0.138
428.0,0.138
429.0,0.138
430.0,0.137
431.0,0.137
432.0,0.136
433.0,0.136
434.0,0.136
435.0,0.136
436.0,0.135
437.0,0.134
438.0,0.134
439.0,0.134
440.0,0.134
