Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/27/2023 10:23:11 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,0.852
301.0,0.847
302.0,0.841
303.0,0.834
304.0,0.827
305.0,0.821
306.0,0.814
307.0,0.807
308.0,0.799
309.0,0.793
310.0,0.788
311.0,0.783
312.0,0.776
313.0,0.770
314.0,0.763
315.0,0.757
316.0,0.751
317.0,0.744
318.0,0.738
319.0,0.733
320.0,0.728
321.0,0.724
322.0,0.719
323.0,0.714
324.0,0.709
325.0,0.703
326.0,0.699
327.0,0.695
328.0,0.692
329.0,0.688
330.0,0.684
331.0,0.679
332.0,0.675
333.0,0.672
334.0,0.669
335.0,0.666
336.0,0.663
337.0,0.661
338.0,0.659
339.0,0.656
340.0,0.654
341.0,0.651
342.0,0.650
343.0,0.647
344.0,0.645
345.0,0.642
346.0,0.641
347.0,0.640
348.0,0.639
349.0,0.637
350.0,0.635
351.0,0.633
352.0,0.632
353.0,0.631
354.0,0.630
355.0,0.628
356.0,0.626
357.0,0.624
358.0,0.623
359.0,0.621
360.0,0.619
361.0,0.617
362.0,0.616
363.0,0.614
364.0,0.612
365.0,0.611
366.0,0.610
367.0,0.609
368.0,0.607
369.0,0.605
370.0,0.602
371.0,0.599
372.0,0.598
373.0,0.596
374.0,0.595
375.0,0.593
376.0,0.590
377.0,0.589
378.0,0.587
379.0,0.586
380.0,0.583
381.0,0.580
382.0,0.579
383.0,0.577
384.0,0.576
385.0,0.573
386.0,0.572
387.0,0.570
388.0,0.568
389.0,0.566
390.0,0.564
391.0,0.563
392.0,0.561
393.0,0.559
394.0,0.558
395.0,0.556
396.0,0.554
397.0,0.552
398.0,0.551
399.0,0.549
400.0,0.548
401.0,0.546
402.0,0.545
403.0,0.544
404.0,0.542
405.0,0.540
406.0,0.539
407.0,0.537
408.0,0.536
409.0,0.534
410.0,0.533
411.0,0.532
412.0,0.531
413.0,0.529
414.0,0.528
415.0,0.527
416.0,0.526
417.0,0.524
418.0,0.523
419.0,0.522
420.0,0.521
421.0,0.520
422.0,0.519
423.0,0.518
424.0,0.517
425.0,0.516
426.0,0.515
427.0,0.515
428.0,0.514
429.0,0.513
430.0,0.512
431.0,0.511
432.0,0.511
433.0,0.510
434.0,0.510
435.0,0.509
436.0,0.508
437.0,0.508
438.0,0.508
439.0,0.507
440.0,0.507
