Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name
Sample ID
Option
Analyst
Date/Time:,01/30/2023 09:30:48 AM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1300 nm
End:,300 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
Accessories:,None
[Advanced]
Slit Width:,5.0
Detector Unit:,External (2 Detector)
Light Source Switch Wavelength:,323
Detector Switch Wavelength:,830
S/R Switch:,Standard
Stair Correction:,ON
[Repeat]
Repeat Measurement:,OFF
[Post-processing]
Spectrum Transformation:,OFF
Data Processing Table:,OFF
Print:,OFF

Wavelength (nm),Absorbance
300.0,1.060
301.0,1.054
302.0,1.045
303.0,1.035
304.0,1.025
305.0,1.014
306.0,1.003
307.0,0.993
308.0,0.983
309.0,0.974
310.0,0.964
311.0,0.955
312.0,0.945
313.0,0.936
314.0,0.926
315.0,0.916
316.0,0.905
317.0,0.894
318.0,0.884
319.0,0.875
320.0,0.865
321.0,0.855
322.0,0.846
323.0,0.838
324.0,0.832
325.0,0.825
326.0,0.817
327.0,0.811
328.0,0.805
329.0,0.798
330.0,0.792
331.0,0.786
332.0,0.781
333.0,0.776
334.0,0.773
335.0,0.768
336.0,0.764
337.0,0.758
338.0,0.754
339.0,0.751
340.0,0.749
341.0,0.746
342.0,0.744
343.0,0.742
344.0,0.740
345.0,0.738
346.0,0.735
347.0,0.734
348.0,0.731
349.0,0.730
350.0,0.728
351.0,0.726
352.0,0.724
353.0,0.722
354.0,0.720
355.0,0.718
356.0,0.716
357.0,0.714
358.0,0.713
359.0,0.711
360.0,0.709
361.0,0.709
362.0,0.706
363.0,0.703
364.0,0.701
365.0,0.698
366.0,0.696
367.0,0.694
368.0,0.692
369.0,0.690
370.0,0.687
371.0,0.686
372.0,0.683
373.0,0.682
374.0,0.679
375.0,0.678
376.0,0.676
377.0,0.674
378.0,0.672
379.0,0.669
380.0,0.667
381.0,0.664
382.0,0.662
383.0,0.660
384.0,0.658
385.0,0.655
386.0,0.653
387.0,0.651
388.0,0.648
389.0,0.646
390.0,0.644
391.0,0.642
392.0,0.641
393.0,0.639
394.0,0.636
395.0,0.634
396.0,0.631
397.0,0.630
398.0,0.628
399.0,0.626
400.0,0.624
401.0,0.623
402.0,0.620
403.0,0.618
404.0,0.616
405.0,0.615
406.0,0.613
407.0,0.611
408.0,0.609
409.0,0.608
410.0,0.606
411.0,0.604
412.0,0.602
413.0,0.601
414.0,0.600
415.0,0.598
416.0,0.597
417.0,0.595
418.0,0.593
419.0,0.592
420.0,0.591
421.0,0.590
422.0,0.589
423.0,0.588
424.0,0.586
425.0,0.585
426.0,0.583
427.0,0.582
428.0,0.581
429.0,0.580
430.0,0.579
431.0,0.578
432.0,0.577
433.0,0.576
434.0,0.575
435.0,0.574
436.0,0.573
437.0,0.573
438.0,0.571
439.0,0.570
440.0,0.570
